,순번,시도본부,소방서,119안전센터명,주소,전화번호,lat,lng
0,1,서울소방재난본부,종로소방서,세종로,서울특별시 종로구 종로1길 28 (수송동),02-734-0119,37.5728109,126.9791251
1,2,서울소방재난본부,종로소방서,신교,서울특별시 종로구 자하문로 93 (신교동),02-736-0119,37.5842532,126.9700153
2,3,서울소방재난본부,종로소방서,종로,서울특별시 종로구 돈화문로 30 (묘동),02-764-0119,37.5720436,126.9921744
3,4,서울소방재난본부,종로소방서,연건,서울특별시 종로구 대학로 91 (연건동),02-762-0119,37.578306,127.0015342
4,5,서울소방재난본부,종로소방서,신영,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,37.6057461,126.9608274
5,6,서울소방재난본부,종로소방서,숭인,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,37.5777251,127.0216836
6,7,서울소방재난본부,중부소방서_서울,무학,서울특별시 중구 퇴계로 394 (무학동),02-2252-3311,37.5643336,127.0153099
7,8,서울소방재난본부,중부소방서_서울,을지로,서울특별시 중구 을지로45길 43 (신당동),02-2235-0119,37.5669375,127.0120174
8,9,서울소방재난본부,중부소방서_서울,충무로,서울특별시 중구 충무로 11 (충무로3가),02-2265-0119,37.5651176,126.99278
9,10,서울소방재난본부,중부소방서_서울,회현,서울특별시 중구 소공로 30 (회현동2가),02-775-0119,37.5587309,126.9836726
10,11,서울소방재난본부,중부소방서_서울,신당,서울특별시 중구 다산로8길 2 (신당동),02-2238-0698,37.5528973,127.0096247
11,12,서울소방재난본부,광진소방서,구의,서울특별시 광진구 광나루로 480 (구의동),02-447-1194,37.5460406,127.0793223
12,13,서울소방재난본부,광진소방서,능동,서울특별시 광진구 능동로 242 (능동),02-447-0119,37.5532617,127.0836492
13,14,서울소방재난본부,광진소방서,중곡,서울특별시 광진구 용마산로 150 (중곡동),02-453-2119,37.5669059,127.0866312
14,15,서울소방재난본부,성동소방서,행당(구 송정),서울특별시 성동구 살곶이길 331(행당동),02-2622-1605,37.563155,127.0448076
15,16,서울소방재난본부,성동소방서,왕십리(구 행당),서울특별시 성동구 고산자로 249 (도선동),02-2622-1761,37.565619,127.0342967
16,17,서울소방재난본부,성동소방서,성동_금호,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771,37.5540013,127.0242585
17,18,서울소방재난본부,성동소방서,성수,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751,37.537152,127.0606231
18,19,서울소방재난본부,용산소방서,한강로,서울특별시 용산구 한강대로 167 (한강로2가),02-793-0119,37.5310177,126.9681999
19,20,서울소방재난본부,용산소방서,이태원,서울특별시 용산구 이태원로 196 (이태원동),02-798-0119,37.5371858,126.9890942
20,21,서울소방재난본부,용산소방서,후암,서울특별시 용산구 후암로 34 (후암동),02-754-0119,37.5489009,126.9778726
21,22,서울소방재난본부,용산소방서,이촌,서울특별시 용산구 이촌로2가 1 (이촌동),02-712-0119,37.5271868,126.9554321
22,23,서울소방재난본부,용산소방서,서빙고,서울특별시 용산구 서빙고로67길 7(서빙고동),02-795-7119,37.5207949,126.9949988
23,24,서울소방재난본부,동대문소방서,동대문_장안,서울특별시 동대문구 장한로 34 (장안동),02-2245-0119,37.5638684,127.0668088
24,25,서울소방재난본부,동대문소방서,청량리,서울특별시 동대문구 왕산로 299 (청량리동),02-962-0119,37.5816221,127.0449024
25,26,서울소방재난본부,동대문소방서,전농,서울특별시 동대문구 황물로 3 (전농동),02-2215-0119,37.5762787,127.045993
