id,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0,0.01,29,11,12:44:00,2018,기타,산34,대문,진천,백곡,충북,29,목요일,11,12:14:00,2018
1,0.08,26,8,18:00:00,2019,입산자실화,산102,검산,홍천,서석,강원,26,월요일,8,12:10:00,2019
2,0.01,26,8,16:50:00,2019,기타,산120,석정,평택,포승,경기,26,월요일,8,16:22:00,2019
3,0.02,19,9,16:20:00,2019,쓰레기소각,06월 04일,녹도,보령,오천,충남,19,목요일,9,10:38:00,2019
4,0.16,30,9,18:00:00,2019,입산자실화,산267,도평,포천,이동,경기,29,일요일,9,17:42:00,2019
5,0.02,11,8,14:30:00,2019,주택화재비화,산122-1,대산,공주,정산,충남,11,일요일,8,12:00:00,2019
6,0.15,23,8,14:15:00,2019,기타,산7-1,석화,횡성,서원,강원,23,금요일,8,12:31:00,2019
7,0.01,9,10,13:20:00,2019,입산자실화,산37-48,중,덕교, ,인천,9,수요일,10,12:40:00,2019
8,0.05,11,10,13:30:00,2019,쓰레기소각,산42,상직,영덕,강구,경북,11,금요일,10,11:55:00,2019
9,0.03,12,10,14:00:00,2019,기타,883-53(임),평택,도일, ,경기,12,토요일,10,13:10:00,2019
10,0.05,13,10,17:50:00,2019,입산자실화,산1-2,화곡,서산,대산,충남,13,일요일,10,14:30:00,2019
11,0.03,15,10,21:30:00,2019,기타,산242-1,연화,옹진,백령,인천,15,화요일,10,20:14:00,2019
12,0.01,19,10,15:20:00,2019,기타,산16-1,안양,안양,만안,경기,19,토요일,10,14:40:00,2019
13,0.01,26,10,11:47:00,2019,입산자실화,산129-1,수정,창원,구산,경남,26,토요일,10,10:47:00,2019
14,0.1,27,10,15:55:00,2019,기타,산8,문덕,군위,우보,경북,27,일요일,10,14:08:00,2019
15,0.03,30,10,15:30:00,2019,기타,산30-1,월막,고령,쌍림,경북,30,수요일,10,12:58:00,2019
16,0.25,7,11,14:40:00,2019,쓰레기소각,산39-1,가평,산회, ,경기,7,목요일,11,12:33:00,2019
17,0.01,8,11,17:30:00,2019,기타,산 87,중촌,거창,가북,경남,8,금요일,11,16:11:00,2019
18,0.5,9,11,2:30:00,2019,입산자실화,산 44-3,두룡,보령,웅천,충남,8,금요일,11,20:25:00,2019
19,0.01,9,11,13:30:00,2019,입산자실화,산 13-1,대성,전주,완산,전북,9,토요일,11,12:25:00,2019
20,0.01,9,11,15:12:00,2019,입산자실화,산 8,팔야,남양주,진접,경기,9,토요일,11,14:12:00,2019
21,0.2,9,11,20:00:00,2019,기타,1344-1,옥적,여수,화양,전남,9,토요일,11,15:15:00,2019
22,0.02,9,11,18:45:00,2019,입산자실화,산 58-6,남당,홍성,서부,충남,9,토요일,11,17:09:00,2019
23,0.01,12,11,17:06:00,2019,기타,산 4,이전,함양,안의,경남,12,화요일,11,15:06:00,2019
24,0.1,12,11,17:27:00,2019,기타,산105,가송,안동,도산,경북,12,화요일,11,15:08:00,2019
25,0.01,16,11,18:10:00,2019,기타,산264,제비,강릉,구정,강원,16,토요일,11,17:00:00,2019
26,0.01,21,11,18:51:00,2019,기타,252,정자,성남,분당,경기,21,목요일,11,18:32:00,2019
27,0.01,22,11,7:30:00,2019,기타,산39-1,구계,창녕, ,경남,22,금요일,11,0:02:00,2019
28,0.15,23,11,21:30:00,2019,주택화재비화,산1,안곡,창원, ,경남,23,토요일,11,18:16:00,2019
29,0.02,24,11,20:50:00,2019,기타,산64-3,초량,동, ,부산,24,일요일,11,19:29:00,2019
30,0.09,28,11,5:00:00,2019,기타,산45,신짐,양평,용문,경기,28,목요일,11,3:52:00,2019
31,0.1,28,11,18:50:00,2019,기타,산259,엄미,광주,남한산성,경기,28,목요일,11,14:30:00,2019
32,0.01,29,11,9:51:00,2019,주택화재비화,226-103,덕은,파주, ,경기,29,금요일,11,7:51:00,2019
33,0.01,30,11,14:00:00,2019,입산자실화,산39,백여,완주,구이,전북,30,토요일,11,12:45:00,2019
34,0.05,30,11,15:40:00,2019,쓰레기소각,6,신평,안동,녹전,경북,30,토요일,11,13:43:00,2019
35,0.01,2,12,13:00:00,2019,기타,82-17,목현,광주, ,경기,2,월요일,12,11:50:00,2019
36,0.1,4,12,12:47:00,2019,논밭두렁소각,222,군량,양구,양구,강원,4,수요일,12,11:30:00,2019
37,0.1,5,12,15:00:00,2019,담뱃불실화,산129-2,점,삼척,도계,강원,5,목요일,12,10:09:00,2019
38,0.01,5,12,14:50:00,2019,주택화재비화,1309-9,달,목포, ,전남,5,목요일,12,11:37:00,2019
39,0.05,6,12,9:50:00,2019,주택화재비화,산38-1,추전,춘천,북산,강원,6,금요일,12,8:59:00,2019
40,0.02,7,12,16:10:00,2019,주택화재비화,산52,천평,칠곡,가산,경북,7,토요일,12,14:44:00,2019
41,0.11,8,12,14:40:00,2019,논밭두렁소각,산-1-,신송,서천,서천,충남,8,일요일,12,13:50:00,2019
42,0.05,11,12,18:00:00,2019,기타,산22,덕산,인제,인제,강원,11,수요일,12,16:25:00,2019
43,2,12,12,10:39:00,2019,기타,산1,나전,정선,북평,강원,11,수요일,12,19:18:00,2019
44,0.35,12,12,16:00:00,2019,주택화재비화,산77-1,상개,남, ,울산,12,목요일,12,11:36:00,2019
45,0.1,13,12,13:08:00,2019,주택화재비화,932-2,종산,김천,대덕,경북,13,금요일,12,11:50:00,2019
46,0.01,13,12,14:50:00,2019,논밭두렁소각,산104,괴정,순창,적성,전북,13,금요일,12,12:57:00,2019
47,0.01,13,12,16:30:00,2019,주택화재비화,산69,대항,밀양,부북,경남,13,금요일,12,15:06:00,2019
48,0.01,13,12,18:40:00,2019,입산자실화,산6-5,모촌,논산,양촌,충남,13,금요일,12,17:14:00,2019
49,0.01,14,12,17:50:00,2019,주택화재비화,산23-3,신기,논산,양촌,충남,14,토요일,12,16:02:00,2019
50,0.01,15,12,14:23:00,2019,주택화재비화,화제,양산,원동, ,경남,15,일요일,12,13:26:00,2019
51,0.25,16,12,15:20:00,2019,쓰레기소각,산155-1,부용의천리,청주,남이,충북,16,월요일,12,13:40:00,2019
