OCCRR_DTM,OCUR_DYWK,EXTING_DTM,RQRMN_TM,ARA_NM,CTPRV_NM,SGNG_NM,EMNDN_NM,OCCCRR_RI,ARA_LTNMB,CUSE_NM,DMG_AREA,DMG_MONEY,TM_X,TM_Y
201302161930,토,201302160830,1300,대전,대전,동구,구도동,,산1-1,원인미상,,,998076.09502331,1808426.68832945
201302251224,월,201302251320,0056,대전,대전,동구,용운동,,산45-1,,,,995534.473422212,1814491.44471418
201304121723,금,201304121753,0030,대전,대전,동구,낭원동,,산9-13,,,,997792.855322736,1809779.25879787
201304131436,토,201304131553,0117,대전,대전,동구,하소동,,산32-1,입산자실화,,,994218.608154189,1801813.03272251
201304131455,토,201304131540,0045,대전,대전,동구,판암동,,산48-9,농산폐기물소각,,,995669.599514092,1812854.63677338
199104111345,목,199104111500,0115,대전,대전,동,상소,,산18-1,논밭두렁소각,1.7,1500,996522.955597832,1804571.96883159
199105040150,토,199105040720,0530,대전,대전,동,판암,,산31,무속행위,4,1200,998217.699429164,1811463.78760376
199205031540,일,199205031610,0030,대전,대전,동,천,,산8-2,어린이불장난,1,100,995440.958204356,1812731.75483512
199402021750,수,199402021810,0020,대전,대전,동,가오,,산18-1,정신이상자실화,0.16,80,996498.159392258,1812811.76651259
199304191310,월,199304191600,0250,대전,대전,동,오,,산22,입산자실화,4,1500,1001838.84352263,1824740.67978281
199404201645,수,199404201805,0120,대전,대전,동,대성,,산1-1,어린이불장난,1.5,1500,998089.383318901,1810885.90148821
199404021525,토,199404021610,0045,대전,대전,동,대성,,산15-1,쓰레기소각,1.2,1000,996953.133587027,1811401.28813409
199404241540,일,199404241610,0030,대전,대전,동,신하,,산27-2,어린이불장난,0.1,50,1000675.05413808,1817916.33568471
199504251255,화,199504251350,0055,대전,대전,동,삼정,,산1-3,농산부산물소각,0.6,600,998114.435381329,1815086.12880098
199505041250,목,199505041430,0140,대전,대전,동,삼괴,,산9-7,입산자실화추정,0.8,1000,997858.658300317,1805158.54921954
199604121400,금,199604121500,0100,대전,대전,동,효평,,산73-1,성묘객실화,4.5,120,996786.998129787,1822514.63710847
199604231516,화,199604231625,0109,대전,대전,동,직,,산35-1,어린이불장난,0.8,300,998942.580856826,1824717.38454356
199702081600,토,199702081750,0150,대전,대전,동,삼괴,,산12,성묘객실화,0.4,100,998606.418990413,1804551.35463833
199704270500,일,199704270810,0310,대전,대전,동,신상,,산30-1,입산자실화추정,1.7,250,1001332.91310188,1817427.1958082
199803081320,일,199803081436,0116,대전,대전,동,구도,,산1-1,농산폐기물소각,1,100,998180.261374026,1808408.29982012
199803151200,일,199803151240,0040,대전,대전,동,주산,,산20,쓰레기소각,0.13,50,997290.434825099,1817912.36321346
200204051807,금,200204051830,0023,대전,대전,동,천,,산15-22,쓰레기소각,0.19,300,995311.76613552,1812819.45510702
200304161700,수,200304161715,0015,대전,대전,동,마산,,산38-1,논밭두렁소각,0.01,0,998753.275576781,1821092.5974629
200104251230,수,200104251400,0130,대전,대전,동,이사,,산9,입산자실화추정,0.2,494,994479.161310498,1810149.88635223
200204111750,목,200204111820,0030,대전,대전,동,신상,,산45-1,모닥불실화,0.17,150,999282.138544179,1817153.89727336
200204141135,일,200204141350,0215,대전,대전,동,신상,,산39-1,입산자실화추정,1.5,2526,999387.534879157,1817285.80865361
200311061330,목,200311061350,0020,대전,대전,동,신하,,산17-2,농산부산물소각,0.02,0,1000439.83189001,1818392.1440724
200104271700,금,200104271730,0030,대전,대전,동,이사,,산9,휴경지소각추정,0.02,0,994479.161310498,1810149.88635223
200312201200,토,200312201220,0020,대전,대전,동,비룡,,산29-1,쓰레기소각,0.03,200,997811.75180492,1815407.33302611
200105051000,토,200105051030,0030,대전,대전,동,추,,산26,입산자실화추정,0.08,0,996316.043420133,1820058.24493988
200203081150,금,200203081300,0110,대전,대전,동,대성,,산11-1,성묘객실화,0.5,0,996893.453061702,1811689.1980631
200204271600,토,200204271625,0025,대전,대전,동,신하,,산17-2,입산자실화추정,0.05,0,1000439.83189001,1818392.1440724
200104031420,화,200104031530,0110,대전,대전,동,마산,,산27-3,담뱃불실화추정,1,500,998770.207196859,1821764.18429561
200301161255,목,200301161310,0015,대전,대전,동,낭월,,산10-29,어린이불장난,0.01,0,997257.18861323,1809605.49644249
200104060830,금,200104060920,0050,대전,대전,동,직,,산97-1,입산자실화추정,0.06,150,998856.508136341,1822020.03528833
200109231312,일,200109231800,0448,대전,대전,동,주촌,,산36-2,휴경지소각,0.66,211,1002572.83221373,1822706.51016484
200203181150,월,200303181320,0130,대전,대전,동,오,,산2,담뱃불실화추정,3.5,7160,1003241.90404749,1824507.58701686
200303200540,목,200303200630,0050,대전,대전,동,소호,,산20-1,전기누전,0.07,0,996296.381744066,1806660.80370841
200111190250,월,200111190330,0040,대전,대전,동,판암,,산30-1,폭죽놀이,0.01,0,997910.328881408,1811886.43326848
200203241355,일,200203241440,0045,대전,대전,동,신촌,,산20,논밭두렁소각,0.02,60,1001279.53187258,1819043.60449765
200203251535,월,200203251550,0015,대전,대전,동,대별,,산5-8,입산자실화추정,0.01,0,996658.818074572,1808843.43884213
200112282320,금,200112290200,0240,대전,대전,동,대별,,산34,입산자실화추정,0.5,0,996170.163870657,1810570.01459512
