OCCRR_DTM	OCUR_DYWK	EXTING_DTM	RQRMN_TM	ARA_NM	CTPRV_NM	SGNG_NM	EMNDN_NM	OCCCRR_RI	ARA_LTNMB	CUSE_NM	DMG_AREA	DMG_MONEY	TM_X	TM_Y
2.01E+11	금	2.01E+11	200	전남	전남	목포시	석현동		산4-17	성묘객실화			902695.5201	1648995.976
2.01E+11	화	2.01E+11	250	전남	전남	여수시	소라면	현천리	산150-22	입산자실화			1010456.237	1640110.216
2.01E+11	수	2.01E+11	204	전남	전남	여수시	상암동		산353				1021856.379	1647418.496
2.01E+11	월	2.01E+11	230	전남	전남	여수시	화양면	이몽리	산301-1				1006835.836	1630405.395
1.99E+11	일	1.99E+11	130	전남	전남	여수	화양	나진	산120	성묘객실화	2.8	85	1009578.619	1634337.952
1.99E+11	일	1.99E+11	240	전남	전남	여수	덕충		산84	입산자실화	5	496	1011271.147	1645206.11
2.00E+11	화	2.00E+11	330	전남	전남	여수	연등		산149-2	입산자실화	17	3000	1021172.692	1639008.481
2.00E+11	수	2.00E+11	128	전남	전남	여수	화양	화동	산33	휴경지소각	1.3	225	1010028.448	1633445.857
2.00E+11	금	2.00E+11	210	전남	전남	여수	율촌	반월	산73	담뱃불실화추정	0.3	10	1005965.675	1647256.877
2.00E+11	월	2.00E+11	320	전남	전남	여수	묘도		산75	휴경지소각	2.7	410	1019877.754	1654967.538
2.00E+11	목	2.00E+11	1925	전남	전남	여수	상암		산109	논두렁소각	19	11154	1020891.25	1649195.859
2.00E+11	월	2.00E+11	1440	전남	전남	여수	삼산	초도	산266	폐농지잡초소각	7.5	2450	977260.0149	1583113.084
2.00E+11	토	2.00E+11	210	전남	전남	여수	소라	현천	산57	성묘객실화	2.7	40	1010304.407	1641206.669
2.00E+11	월	2.00E+11	720	전남	전남	여수	소라	관기	산92-1	방화추정	2.9	5220	1012071.821	1638505.911
2.00E+11	금	2.00E+11	115	전남	전남	여수	묘도		산35	담뱃불실화	2.5	4600	1021167.702	1654968.012
2.00E+11	월	2.00E+11	130	전남	전남	여수	화양	안포	산144-1	쓰레기소각	0.9	1500	1011326.376	1630881.92
2.00E+11	수	2.00E+11	355	전남	전남	여수	만흥		산167	성묘객실화	3.5	405	1020444.428	1642572.911
2.00E+11	화	2.00E+11	140	전남	전남	여수	소라	복산	산86-5	입산자실화	1.5	106	1008401.349	1642414.875
2.00E+11	일	2.00E+11	50	전남	전남	여수	적량		산162	입산자실화추정	0.5	80	1019706.2	1649068.764
2.00E+11	목	2.00E+11	145	전남	전남	여수	소라	사곡	산227	입산자실화추정	1.2	3236	1006364.374	1645678.142
2.00E+11	수	2.00E+11	130	전남	전남	여수	소라	대포	산78	농산부산물소각	0.6	1519	1010494.916	1645773.534
2.00E+11	일	2.00E+11	50	전남	전남	여수	묘도		산15-1	농산부산물소각	0.3	2226	1021491.644	1655218.178
2.00E+11	화	2.00E+11	605	전남	전남	여수	소라	대포	산230	농산폐기물소각	1.8	3236	1009850.716	1648584.371
2.00E+11	목	2.00E+11	300	전남	전남	여수	오천		산75	입산자실화추정	1.5	4045	1022770.372	1644767.946
2.00E+11	화	2.00E+11	155	전남	전남	여수	화정	조발	산117	무속행위	1.2	3288	1003549.019	1625902.919
