,OCCRR_DTM,RQRMN_TM,CTPRV_NM,SGNG_NM,EMNDN_NM,OCCCRR_RI,ARA_LTNMB,CUSE_NM,DMG_AREA,ADDRESS
0,2013-03-27,56.0,서울,강북구,수유동,,산127-1,노숙자실화 추정,0.0,서울 강북구 수유동 산127-1
1,2013-10-27,50.0,서울,도봉구,도봉동,,산29-89,미상,0.0,서울 도봉구 도봉동 산29-89
2,2013-03-10,29.0,서울,서초구,내곡동,,산12-415,밭두렁소각,0.0,서울 서초구 내곡동 산12-415
3,2013-04-16,153.0,서울,송파구,마천동,,54-20,방화 추정,0.0,서울 송파구 마천동 54-20
4,2010-11-09,22.0,서울,종로,평창,,산6-386,입산자실화,0.01,서울 종로 평창 산6-386
5,2001-03-22,18.0,서울,종로,명륜,,산2-8,담뱃불실화추정,0.07,서울 종로 명륜 산2-8
6,2008-03-15,5.0,서울,종로,삼청,,산2-1,입산자실화,0.01,서울 종로 삼청 산2-1
7,2000-03-04,22.0,서울,종로,부암,,산11,어린이불장난,0.01,서울 종로 부암 산11
8,2001-04-28,9.0,서울,종로,부암,,산26,어린이불장난추정,0.01,서울 종로 부암 산26
9,1994-04-10,100.0,서울,종로,구기,,산3-23,입산자실화추정,0.04,서울 종로 구기 산3-23
10,1996-02-25,110.0,서울,종로,구기,,산3-1,입산자실화,0.5,서울 종로 구기 산3-1
11,2000-02-24,30.0,서울,종로,구기,,산3-1,입산자실화추정,0.04,서울 종로 구기 산3-1
12,2000-03-24,430.0,서울,종로,구기,,산3-20,입산자실화추정,0.09,서울 종로 구기 산3-20
13,2006-11-25,140.0,서울,종로,구기,,산3-1,입산자실화,0.07,서울 종로 구기 산3-1
14,2009-04-17,15.0,서울,종로,구기,,산3-20,생활쓰레기소각,0.02,서울 종로 구기 산3-20
15,2002-03-09,24.0,서울,종로,평창,,440-15,입산자실화추정,0.02,서울 종로 평창 440-15
16,1989-05-04,120.0,서울,종로,평창,,산6,등산객실화추정,0.2,서울 종로 평창 산6
17,1999-03-17,10.0,서울,용산,이태원,,산1-5,담뱃불실화추정,0.05,서울 용산 이태원 산1-5
18,2006-03-23,15.0,서울,용산,이태원,,산1-174,입산자실화,0.02,서울 용산 이태원 산1-174
19,2005-01-29,25.0,서울,용산,용산2가,,산1-3,입산자실화추정,0.01,서울 용산 용산2가 산1-3
20,2006-03-12,25.0,서울,용산,후암,,산1-1,입산자실화,0.01,서울 용산 후암 산1-1
21,1982-03-28,33.0,서울,용산,용산2가,,산1-1,입산자실화,0.2,서울 용산 용산2가 산1-1
